month,fork_count
2019-08,19
2019-09,13
2019-10,71
2019-11,18
2019-12,16
2020-01,18
2020-02,16
2020-03,43
2020-04,16
2020-05,21
2020-06,41
2020-07,25
2020-08,34
2020-09,37
2020-10,29
2020-11,52
2020-12,34
2021-01,27
2021-02,35
2021-03,34
2021-04,41
2021-05,47
2021-06,34
2021-07,34
2021-08,40
2021-09,26
2021-10,19
2021-11,57
2021-12,31
2022-01,36
2022-02,60
2022-03,63
2022-04,31
2022-05,35
2022-06,45
2022-07,37
2022-08,48
2022-09,71
2022-10,76
2022-11,48
2022-12,77
2023-01,134
2023-02,65
2023-03,76
2023-04,63
2023-05,40
2023-06,106
2023-07,81
2023-08,56
2023-09,69
2023-10,60
2023-11,85
2023-12,69
2024-01,93
2024-02,76
2024-03,64
2024-04,75
2024-05,108
2024-06,55
2024-07,86
2024-08,60
2024-09,98
2024-10,142
2024-11,231
2024-12,210
2025-01,376
2025-02,421
2025-03,705
2025-04,563
2025-05,518
2025-06,450
2025-07,623
2025-08,583
2025-09,488
2025-10,737
2025-11,1099
2025-12,1451
2026-01,339
