month,fork_count
2019-08,8
2019-09,6
2019-10,213
2019-11,44
2019-12,53
2020-01,43
2020-02,48
2020-03,51
2020-04,51
2020-05,61
2020-06,66
2020-07,55
2020-08,45
2020-09,50
2020-10,70
2020-11,80
2020-12,68
2021-01,70
2021-02,72
2021-03,96
2021-04,111
2021-05,107
2021-06,168
2021-07,116
2021-08,81
2021-09,107
2021-10,57
2021-11,119
2021-12,126
2022-01,167
2022-02,142
2022-03,145
2022-04,121
2022-05,123
2022-06,98
2022-07,99
2022-08,130
2022-09,119
2022-10,92
2022-11,100
2022-12,87
2023-01,94
2023-02,98
2023-03,77
2023-04,110
2023-05,99
2023-06,108
2023-07,141
2023-08,124
2023-09,100
2023-10,147
2023-11,104
2023-12,150
2024-01,212
2024-02,244
2024-03,210
2024-04,264
2024-05,238
2024-06,232
2024-07,238
2024-08,368
2024-09,707
2024-10,802
2024-11,766
2024-12,1206
2025-01,2035
2025-02,3411
2025-03,4322
2025-04,4522
2025-05,4000
2025-06,3301
2025-07,3366
2025-08,2483
2025-09,2299
2025-10,576
2025-12,797
2026-01,244
